0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,99.99965
19,99.9993
20,99.99895000000001
21,99.99860000000001
22,99.99825000000001
23,99.99790000000002
24,99.99755000000002
25,99.99720000000002
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,100
61,100
62,99.99965
63,99.9993
63,90.9993
63,99.9993
63,90.9993
63,99.9993
64,80.9993
64,85.9993

